,fetal_skin_n,fetal_skin_p,fetal_skin_l,organoid_n,organoid_p,organoid_l
216,IL10RA,0.0,6.3238006,SFRP1,0.0,1.8817213
217,SLC9A3R1,0.0,2.798439,LOXL1,0.0,2.1330993
218,HSPA2,0.0,3.5721104,OLFM2,0.0,1.5287862
219,CMTM7,0.0,2.5464437,IGFBP4,0.0,1.2397522
220,HSPA6,0.0,8.864074,LAMP1,0.0,1.1957791
221,CLDN11,0.0,2.423655,PTP4A2,0.0,1.095777
222,SAMHD1,0.0,2.940995,ZNF292,0.0,1.0261208
223,SH3BGRL3,0.0,0.97488797,LAPTM4B,0.0,1.4716196
224,FKBP1A,0.0,0.8923823,CHURC1,0.0,1.1561995
225,DOK2,0.0,5.419184,C9orf3,0.0,2.0818799
226,MYL12A,0.0,0.90077305,KRT15,0.0,4.920617
227,MS4A7,0.0,8.208907,GALNT1,0.0,1.4465418
228,ADSL,0.0,1.798759,MFSD14C,0.0,3.6941013
229,HNRNPA1,0.0,0.6026809,PERP,0.0,2.382845
230,NCKAP1L,0.0,8.034454,KRT19,0.0,3.9761233
231,HPGDS,0.0,13.549352,CDK13,0.0,1.8273892
232,CLIC1,0.0,0.8609872,PTPRF,0.0,2.1823967
233,NR4A3,0.0,2.9128191,MIR99AHG,0.0,1.7388177
234,DONSON,0.0,2.4844291,HEBP2,0.0,1.5261623
235,HOXB2,0.0,2.4823098,ZFHX4,0.0,1.5900208
236,ACOT2,0.0,3.479474,HDGF,0.0,1.3985319
237,SERPINB1,0.0,2.3390303,DLG1,0.0,1.6180158
238,SF3A2,0.0,1.4001294,GTPBP6,0.0,2.101208
239,AP006222.2,0.0,26.492203,GABPB1-AS1,0.0,1.2224926
240,ROMO1,0.0,0.96836656,SPINT2,0.0,1.4587786
241,RGS1,0.0,9.177926,TCEA3,0.0,1.4441022
242,ARHGDIA,0.0,1.0829085,LUC7L3,0.0,0.86428744
243,CNPY3,0.0,1.3755296,MT-CO3,0.0,0.5933681
244,MS4A4A,0.0,12.646689,SYNC,0.0,2.2301993
245,PTPRE,0.0,3.3706307,FSIP2,0.0,4.7899075
246,HLA-DRB1,0.0,4.575984,HMX1,0.0,7.7921567
247,PLAC8,0.0,7.3352737,CCDC3,0.0,1.8519311
248,HBG2,0.0,9.237969,GPC1,0.0,2.034274
249,HSPB6,0.0,2.985579,SESN3,0.0,1.1726376
250,GIMAP4,0.0,7.5957108,P4HA1,0.0,1.0683061
251,FERMT3,0.0,5.319473,PTPRA,0.0,1.5285177
252,FSCN1,0.0,1.0203983,WTIP,0.0,2.6241722
253,RAB1B,0.0,1.5863682,SMIM7,0.0,1.1537377
254,MT1X,0.0,2.0557218,CCDC66,0.0,1.5958335
255,BCL2A1,0.0,6.1133914,BOD1,0.0,1.1034083
256,MPEG1,0.0,10.649464,TMEM121,0.0,3.6441662
257,NDUFA1,0.0,0.8648262,POU3F3,0.0,3.929988
258,ATF3,0.0,1.5243311,PLEKHH3,0.0,2.626429
259,HIST1H4C,0.0,1.3166219,RHOC,0.0,0.90704846
260,NID1,0.0,1.5646702,EFNA3,0.0,2.9616401
261,NFKBIA,0.0,1.1950326,IER5L,0.0,1.7970785
262,CD163,0.0,9.947246,CASK,0.0,1.6551127
263,HBEGF,0.0,3.871413,SLK,0.0,1.5208527
264,LTB,0.0,5.6818986,SIX1,0.0,2.7349837
265,TAGAP,0.0,5.321925,TMEM203,0.0,1.9759725
266,FCGR2A,0.0,5.4207006,CHD3,0.0,1.2237797
267,LTBR,0.0,1.9247136,CSNK2A2,0.0,1.930298
268,CD69,0.0,11.238803,TCEAL2,0.0,4.014982
269,OSR1,0.0,2.3650913,GPNMB,0.0,1.9532658
270,PRR13,0.0,1.2945917,NCKAP1,0.0,1.5151415
271,MT2A,0.0,2.062795,ROBO1,0.0,1.3689932
272,UBL5,0.0,0.75756556,CDC34,0.0,1.9867632
273,TFPI,0.0,2.598482,CTNNBIP1,0.0,1.7365763
274,CAPZB,0.0,0.9434974,WWTR1,0.0,1.2085985
275,OTUB1,0.0,1.327637,PCDHGA10,0.0,3.8288062
276,GSTK1,0.0,1.1941639,GOLGA4,0.0,0.9633041
277,PLD4,0.0,7.395768,UQCRH,0.0,0.5265677
278,GPR65,0.0,8.817229,GAS1,0.0,1.3906369
279,SYNGR2,0.0,2.4178538,EMP2,0.0,1.2322493
280,PELI1,0.0,1.9070247,ENO2,0.0,2.1295815
281,ICAM3,0.0,3.5263433,PPP1R35,0.0,2.68148
282,CXCR4,0.0,2.1362448,SAMD1,0.0,1.7278044
283,CXCL3,0.0,5.305852,HMGCS1,0.0,1.346047
284,A2M,0.0,2.8884904,CRLF1,0.0,3.7333
285,MFSD1,0.0,1.9065948,CAMLG,0.0,0.8193422
286,TSC22D3,0.0,1.4078599,PLPPR3,0.0,5.1051416
287,PHLDA1,0.0,1.5396667,TCEAL4,0.0,0.81513053
288,RCSD1,0.0,4.2354026,PFKP,0.0,2.1245155
289,NCALD,0.0,2.6491034,RASSF8,0.0,1.4955913
290,APBB1IP,0.0,7.3662586,ALYREF,0.0,2.1168182
291,PNPLA2,0.0,1.9896325,GXYLT2,0.0,1.7523135
292,BAG3,0.0,2.0843048,WNT6,0.0,4.889034
